1.286	12.004	35.711	1.230	6.525	4.057	5.779	1.707	136.620	0.638	1268.090	125.613	1.916	1.464	6.256	139.532	113.021	5.958	1.418	0.543
1.251	13.125	39.111	1.219	7.132	4.419	6.319	1.866	150.183	0.695	1385.870	133.713	2.106	1.553	6.836	152.430	123.550	6.416	1.564	0.590
1.193	12.484	37.194	1.206	6.849	4.194	6.061	1.776	146.728	0.663	1317.290	125.280	2.002	1.579	6.611	146.828	116.292	6.146	1.496	0.559
1.182	13.007	38.754	1.192	7.186	4.292	6.294	1.849	154.732	0.693	1357.280	128.453	2.088	1.615	6.723	152.008	115.517	6.316	1.580	0.572
1.287	13.607	40.528	1.193	7.527	4.319	6.554	1.934	165.020	0.724	1409.030	138.073	2.180	1.672	7.008	160.185	121.626	6.545	1.697	0.615
1.309	13.544	40.272	1.182	7.479	4.339	6.506	1.924	166.254	0.721	1386.610	142.294	2.170	1.706	7.039	161.264	120.605	6.538	1.661	0.626
1.280	12.765	38.062	1.169	7.049	4.215	6.166	1.813	163.660	0.684	1335.450	143.037	2.046	1.695	6.848	156.376	115.762	6.389	1.606	0.631
1.306	11.904	35.294	1.183	6.519	3.992	5.736	1.691	159.472	0.637	1254.600	147.900	1.906	1.685	6.534	149.102	109.110	6.150	1.505	0.604
1.302	11.807	34.612	1.170	6.397	3.958	5.644	1.678	164.089	0.626	1232.840	155.253	1.889	1.729	6.489	148.068	104.979	6.087	1.444	0.597
1.237	11.212	32.783	1.153	6.082	3.750	5.344	1.593	156.866	0.594	1177.360	145.230	1.795	1.643	6.154	140.605	98.684	5.831	1.336	0.538
1.279	10.557	30.983	1.161	5.756	3.594	5.057	1.501	153.628	0.561	1127.610	130.787	1.694	1.647	5.862	132.443	94.963	5.607	1.272	0.514
1.285	10.767	31.519	1.156	5.877	3.686	5.210	1.531	163.709	0.575	1148.290	133.853	1.726	1.674	5.973	134.716	95.710	5.678	1.308	0.524
1.296	12.203	35.665	1.149	6.652	4.084	5.879	1.735	189.191	0.649	1288.140	138.310	1.954	1.711	6.754	151.179	107.619	6.230	1.475	0.586
1.279	12.275	35.922	1.144	6.743	4.215	5.927	1.744	192.243	0.652	1302.280	137.160	1.965	1.743	6.813	149.984	109.184	6.328	1.519	0.594
1.275	11.458	33.487	1.135	6.314	4.191	5.552	1.629	183.923	0.609	1223.740	129.503	1.833	1.807	6.392	142.050	103.133	5.954	1.435	0.564
1.328	11.402	33.332	1.177	6.280	4.418	5.510	1.619	187.179	0.607	1218.590	128.430	1.822	1.849	6.355	139.700	102.175	5.887	1.456	0.565
1.319	11.362	33.220	1.194	6.236	4.376	5.441	1.614	191.899	0.605	1217.710	130.303	1.818	1.852	6.313	135.525	101.384	5.826	1.477	0.554
1.368	10.297	30.149	1.202	5.648	4.165	4.960	1.463	181.069	0.551	1133.550	124.893	1.649	1.845	5.794	126.210	95.182	5.353	1.303	0.526
1.432	10.896	31.896	1.262	5.980	4.960	5.264	1.550	202.350	0.587	1359.780	122.979	1.744	1.902	6.396	138.557	110.775	6.230	1.389	0.634
1.455	11.502	33.675	1.261	6.289	5.740	5.547	1.635	219.889	0.644	1544.240	121.013	1.839	1.925	6.954	149.127	116.598	7.498	1.506	0.678
1.438	11.386	33.275	1.270	6.211	5.542	5.458	1.618	220.116	0.652	1503.920	110.063	1.816	1.849	6.847	152.396	121.167	7.404	1.460	0.651
1.494	11.809	35.569	1.304	6.735	5.797	5.812	1.678	234.933	0.708	1585.320	105.575	1.885	1.816	7.251	169.022	134.597	8.016	1.477	0.665
1.495	11.833	35.868	1.325	6.701	5.770	5.836	1.683	242.061	0.705	1661.170	108.140	1.889	1.812	7.325	172.656	136.680	8.215	1.467	0.673
1.413	12.127	35.638	1.341	6.725	5.603	5.862	1.724	249.322	0.700	1684.760	107.620	1.933	1.755	7.442	175.251	141.058	8.001	1.453	0.672
1.380	11.690	34.217	1.382	6.515	5.442	5.687	1.662	246.612	0.682	1604.330	103.327	1.865	1.720	7.209	171.018	136.401	7.802	1.409	0.665
1.353	10.994	32.196	1.371	6.156	5.103	5.354	1.562	236.796	0.653	1571.480	99.051	1.752	1.662	6.844	159.763	129.349	7.683	1.312	0.645
1.324	10.877	31.775	1.368	6.045	4.746	5.305	1.543	237.681	0.640	1589.200	98.834	1.730	1.608	6.734	157.939	129.024	7.378	1.296	0.631
1.336	10.413	30.494	1.407	5.864	4.585	5.169	1.480	234.291	0.636	1639.550	96.259	1.660	1.561	6.522	155.505	130.549	7.374	1.243	0.632
1.374	9.818	28.705	1.371	5.465	4.293	4.918	1.396	226.465	0.615	1668.150	84.431	1.564	1.496	6.237	150.184	123.074	7.296	1.154	0.626
